celll_type	probes
B_cell	"CD20,PAX5"
B_cell	CD20
B_cell	PAX5
T_cell	CD3E
T_cell	"CD3E,CD4,CD8"
NK	NCAM1
NK	"CD3E,NCAM1"
NK	"CD8, NCAM1"
NK	"CD3E,CD8,NCAM1"
Epithelial	panCK
Epithelial	"CD138,panCK"
Lymphatic_endothelium	Podoplanin
Lymphatic_endothelium	"CD34,Podoplanin"
Endothelial	CD34
Macrophages	CD68
Plasma	CD138
Plasma	"CD138,CD20"
Smooth_muscle	SMA
Stromal	VIMENTIN
Activated_B_cell	"CD20,TNFRSF8-CD30"
CD4_Tcell	"CD3E,CD4"
CD8_Tcell	"CD3E,CD8"
T_regs	"CD3E,FOXP3"
CD4_Tregs	"CD3E,CD4,FOXP3"
CD8_Tregs	"CD3E,CD8,FOXP3"
PD1_Tcell	"CD3E,PD-1"
CD4_PD1_T-cell	"CD3E,CD4,PD-1"
CD8_PD1_Tcell	"CD3E,CD8,PD-1"
CTLA4_Tcell	"CD3E,CTLA-4"
CD4_CTLA4_Tcell	"CD3E,CD4,CTLA-4"
CD8_CTLA4_Tcell	"CD3E,CD8,CTLA-4"
LAG3_Tcell	"CD3E,LAG3"
CD4_LAG3_Tcell	"CD3E,CD4,LAG3"
CD8_LAG3_Tcell	"CD3E,CD8,LAG3"
TIM3_Tcell	"CD3E,TIM-3"
CD4_TIM3_Tcell	"CD3E,CD4,TIM-3"
CD8_TIM3_Tcell	"CD3E,CD8,TIM-3"
Activated_Tcell	"CD3E,TNFRSF8-CD30"
Th1_Macrophage	"CD68,CD206-MRC1"
Th2_Macrophage	CD163
Th2_Macrophage	"CD163,CD68"
Th2_Macrophage	"CD163,CD206-MRC1"
Th2_Macrophage	"CD163,CD68,CD206-MRC1"
CD8	CD8
CD4	CD4
FOXP3	FOXP3
