channel_number,cycle_number,marker_name,background,Filter,remove,,
0,1,DAPI,,DAPI,,,
1,1,TRITC,,TRITC,TRUE,,
2,1,Cy5,,Cy5,TRUE,,
3,2,LICOR Diluent - MS,,TRITC,TRUE,,
4,2,LICOR Diluent - RB,,Cy5,TRUE,,
5,3,FOXP3 25,LICOR Diluent - MS,TRITC,,,
6,3,LAG3 300,LICOR Diluent - RB,Cy5,,,
7,4,CD68 600,LICOR Diluent - MS,TRITC,,,
8,4,TIM-3 150,LICOR Diluent - RB,Cy5,,,
9,5,CD20,LICOR Diluent - MS,TRITC,,,
10,5,CD206-MRC1-3500,LICOR Diluent - RB,Cy5,,,
11,6,PCNA RENNERT 10K,LICOR Diluent - MS,TRITC,,,
12,6,ICOS - 6k,LICOR Diluent - RB,Cy5,,,
13,7,CD45RA 300 SIMONSON,LICOR Diluent - MS,TRITC,,,
14,7,Podoplanin 15K PATEL,LICOR Diluent - RB,Cy5,,,
15,8,IDO 500,LICOR Diluent - MS,TRITC,,,
16,8,PAX5,LICOR Diluent - RB,Cy5,,,
17,9,PD-1 50,LICOR Diluent - MS,TRITC,,,
18,9,CD3E - 1K,LICOR Diluent - RB,Cy5,,,
19,10,CD8 100,LICOR Diluent - MS,TRITC,,,
20,10,CD163 2000,LICOR Diluent - RB,Cy5,,,
21,11,PDL1 - 150,LICOR Diluent - RB,Cy5,,,
22,12,CD138 1K,LICOR Diluent - MS,TRITC,,,
23,12,MKI67 8K,LICOR Diluent - RB,Cy5,,,
24,13,SMA 1600 ARVIN,LICOR Diluent - MS,TRITC,,,
25,13,NCAM1 50 PATEL,LICOR Diluent - RB,Cy5,,,
26,14,ECAD 400 LODA,LICOR Diluent - MS,TRITC,,,
27,14,GZMB,LICOR Diluent - RB,Cy5,,,
28,15,VIMENTIN 2k ARVIN,LICOR Diluent - MS,TRITC,,,
29,15,CTLA-4 2k,LICOR Diluent - RB,Cy5,,,cd163
30,16,CD34 200,LICOR Diluent - MS,TRITC,,,
31,16,TNFRSF8-CD30 400,LICOR Diluent - RB,Cy5,,,
32,17,panCK AE1-AE3 800,LICOR Diluent - MS,TRITC,,,
33,17,CD4 BL-155-1C11,LICOR Diluent - RB,Cy5,,,
